iter	Logloss
0	0.6913774059
1	0.6900287994
2	0.6887432406
3	0.6878490088
4	0.6863737142
5	0.6849419784
6	0.6835263581
7	0.6823870159
8	0.6808854934
9	0.679584154
10	0.6783058288
11	0.6765493068
12	0.6747893171
13	0.673660577
14	0.6722043607
15	0.670306707
16	0.6692394749
17	0.6679872362
18	0.6670054441
19	0.6660497708
20	0.6645364724
21	0.6632808318
22	0.6621794909
23	0.6610665778
24	0.6598839281
25	0.6582456975
26	0.6571150239
27	0.6561881921
28	0.6554250708
29	0.6542052694
30	0.6533690308
31	0.6520274599
32	0.6506683457
33	0.6495021617
34	0.6480938246
35	0.6469713681
36	0.6455803003
37	0.6445586446
38	0.6436178711
39	0.6426793221
40	0.6417479499
41	0.6407372337
42	0.6397324269
43	0.6387771734
44	0.6374412573
45	0.6362106674
46	0.6353562561
47	0.6343424097
48	0.6335686671
49	0.6327402714
50	0.6315476222
51	0.6302311345
52	0.6296303137
53	0.6289654739
54	0.6278037969
55	0.6270870715
56	0.6260675202
57	0.6255444269
58	0.6246258261
59	0.6238757446
60	0.623178889
61	0.6223580927
62	0.6209694899
63	0.6197550527
64	0.6191646014
65	0.6185305005
66	0.6178839617
67	0.6167027027
68	0.6159601793
69	0.6151436753
70	0.6141649584
71	0.6135503856
72	0.6130058645
73	0.6123045503
74	0.6113499513
75	0.6110084967
76	0.6104626789
77	0.6096879818
78	0.6090306848
79	0.6083229611
80	0.6078422143
81	0.6070841897
82	0.6064023417
83	0.605402644
84	0.6048493062
85	0.6042734759
86	0.6037266736
87	0.6027523171
88	0.6018764076
89	0.6014269947
90	0.600636642
91	0.5999117165
92	0.5993779034
93	0.5985861825
94	0.5979413891
95	0.5971508546
96	0.5966892449
97	0.5961515047
98	0.595553823
99	0.5949110378
100	0.5943994676
101	0.5938194643
102	0.5932140183
103	0.5926389215
104	0.5923916201
105	0.5918996063
106	0.5913871398
107	0.5907906624
108	0.5902311341
109	0.5894677229
110	0.5890622517
111	0.5887030675
112	0.5881517088
113	0.5875192347
114	0.5869119759
115	0.5864755294
116	0.5860627946
117	0.585327389
118	0.5847158704
119	0.5841799188
120	0.5837434696
121	0.5832839708
122	0.5825474223
123	0.5818902476
124	0.5812791009
125	0.5809108802
126	0.5803304391
127	0.5796219171
128	0.5791608569
129	0.5787845331
130	0.5784128452
131	0.5777292103
132	0.5773495575
133	0.5769030164
134	0.5764452715
135	0.5759229546
136	0.575584954
137	0.5752399548
138	0.5746697681
139	0.5743939612
140	0.5738968825
141	0.573291191
142	0.5730909571
143	0.5726053874
144	0.572164333
145	0.5717201948
146	0.5714363223
147	0.5710516971
148	0.5705698809
149	0.5699621477
150	0.5696991167
151	0.5694675238
152	0.5690106153
153	0.5684299213
154	0.5680658347
155	0.5676681005
156	0.5674930338
157	0.5671412069
158	0.5669079759
159	0.5667326457
160	0.5664100861
161	0.565985004
162	0.5655981517
163	0.5652696691
164	0.5647026323
165	0.5642559239
166	0.5639342803
167	0.5635439821
168	0.5631782866
169	0.5628404025
170	0.5624211953
171	0.5621259404
172	0.5618500728
173	0.5615952904
174	0.5612639919
175	0.5609606793
176	0.5606292584
177	0.5603240003
178	0.5600877686
179	0.5595605099
180	0.5593215954
181	0.5589799378
182	0.5585657701
183	0.5583289465
184	0.5581360307
185	0.557768199
186	0.5573688596
187	0.5570232076
188	0.556734928
189	0.5564940492
190	0.5562066592
191	0.5559191172
192	0.5556875114
193	0.5554144119
194	0.5551580203
195	0.5547805373
196	0.5545371659
197	0.554167227
198	0.5538388286
199	0.5536010127
200	0.553200941
201	0.5529583366
202	0.5526444444
203	0.5522799389
204	0.5519538375
205	0.5515994748
206	0.5512994704
207	0.5509795594
208	0.5504729513
209	0.5501305521
210	0.5498166657
211	0.5496551106
212	0.549443073
213	0.5488898851
214	0.5485398738
215	0.5482511363
216	0.5478976127
217	0.5475990131
218	0.5474344109
219	0.5471904229
220	0.546986169
221	0.5466995908
222	0.5464579493
223	0.5460202092
224	0.5457123309
225	0.5454639965
226	0.5452036394
227	0.5450653043
228	0.5448428162
229	0.5445709231
230	0.5443543777
231	0.5440769521
232	0.5438585409
233	0.5436104934
234	0.5434394427
235	0.5432546486
236	0.5429746573
237	0.5427417581
238	0.542488398
239	0.5421653465
240	0.5419078348
241	0.541359168
242	0.5410562261
243	0.5408499606
244	0.5404475941
245	0.5401276317
246	0.5399044605
247	0.5396591943
248	0.5394706417
249	0.5392744014
