iter	Passed	Remaining
0	3	763
1	4	578
2	6	515
3	7	463
4	8	431
5	10	407
6	12	444
7	14	428
8	15	408
9	16	398
10	17	390
11	19	381
12	20	374
13	21	368
14	23	362
15	24	356
16	25	352
17	26	347
18	28	343
19	29	341
20	30	336
21	32	332
22	33	327
23	34	324
24	35	323
25	37	322
26	38	318
27	39	316
28	41	315
29	42	312
30	44	311
31	45	308
32	46	306
33	47	304
34	49	301
35	50	300
36	51	298
37	53	296
38	54	294
39	55	292
40	57	291
41	58	288
42	59	286
43	60	284
44	62	283
45	63	282
46	65	280
47	66	278
48	67	276
49	68	273
50	69	271
51	70	268
52	71	265
53	72	263
54	73	261
55	75	259
56	76	257
57	77	255
58	78	253
59	79	251
60	80	249
61	81	247
62	82	246
63	84	244
64	85	242
65	86	240
66	87	239
67	88	237
68	90	236
69	91	234
70	92	232
71	93	231
72	94	230
73	96	228
74	97	227
75	98	225
76	99	224
77	100	222
78	102	221
79	103	220
80	104	218
81	105	216
82	107	216
83	108	214
84	109	213
85	110	211
86	112	210
87	113	208
88	114	207
89	115	205
90	116	204
91	118	202
92	119	201
93	120	200
94	121	198
95	123	197
96	124	195
97	125	194
98	126	193
99	127	191
100	128	190
101	130	188
102	131	187
103	132	186
104	133	184
105	135	183
106	136	182
107	137	180
108	138	179
109	140	178
110	141	177
111	142	175
112	144	174
113	145	173
114	146	172
115	147	170
116	148	169
117	149	167
118	151	166
119	152	165
120	153	163
121	154	162
122	155	160
123	156	159
124	158	158
125	159	156
126	160	155
127	161	154
128	162	152
129	163	151
130	165	150
131	166	148
132	167	147
133	168	145
134	169	144
135	170	143
136	172	142
137	173	140
138	174	139
139	175	138
140	177	136
141	178	135
142	179	134
143	180	133
144	182	131
145	183	130
146	184	129
147	185	127
148	186	126
149	187	125
150	189	124
151	190	122
152	191	121
153	192	120
154	193	118
155	195	117
156	196	116
157	197	114
158	198	113
159	199	112
160	200	110
161	201	109
162	203	108
163	204	107
164	205	105
165	206	104
166	207	103
167	209	102
168	210	100
169	211	99
170	212	98
171	213	97
172	215	95
173	216	94
174	217	93
175	219	92
176	220	90
177	221	89
178	222	88
179	223	87
180	225	85
181	226	84
182	227	83
183	228	82
184	229	80
185	231	79
186	232	78
187	233	77
188	235	75
189	236	74
190	237	73
191	238	72
192	240	70
193	241	69
194	242	68
195	243	67
196	244	65
197	246	64
198	247	63
199	248	62
200	249	60
201	250	59
202	251	58
203	252	57
204	254	55
205	255	54
206	256	53
207	257	52
208	258	50
209	260	49
210	261	48
211	262	47
212	263	45
213	264	44
214	266	43
215	267	42
216	268	40
217	269	39
218	269	38
219	271	36
220	272	35
221	273	34
222	274	33
223	275	31
224	276	30
225	277	29
226	278	28
227	279	26
228	280	25
229	281	24
230	283	23
231	284	22
232	285	20
233	286	19
234	287	18
235	288	17
236	289	15
237	290	14
238	291	13
239	292	12
240	293	10
241	294	9
242	296	8
243	296	7
244	298	6
245	299	4
246	300	3
247	301	2
248	302	1
249	303	0
